Disease,Sex,Age_Group,Count
"Other mental and behavioural disorders (F04-F09,F50-F69,F80-F89,F99)",Male,(70+),192
"Other mental and behavioural disorders (F04-F09,F50-F69,F80-F89,F99)",Female,(70+),197
"Bacterial meningitis not elsewhere classified (G00,G03)",Male,(70+),56
"Bacterial meningitis not elsewhere classified (G00,G03)",Female,(70+),80
"Encephalitis,myelitis and encephalomyelitis (G04)",Male,(70+),85
"Encephalitis,myelitis and encephalomyelitis (G04)",Female,(70+),86
Intracranial and intraspinal abscess and granuloma(G06),Male,(70+),20
Intracranial and intraspinal abscess and granuloma(G06),Female,(70+),4
Parkinson's disease (G20),Male,(70+),188
Parkinson's disease (G20),Female,(70+),171
Multiple sclerosis (G35),Male,(70+),12
Multiple sclerosis (G35),Female,(70+),16
Epilepsy (G40-G41),Male,(70+),825
Epilepsy (G40-G41),Female,(70+),732
"Migraine and headache syndrome (G43,G44)",Male,(70+),311
"Migraine and headache syndrome (G43,G44)",Female,(70+),425
Transient cerebral ischaemic attacks and related syndromes (G45),Male,(70+),997
Transient cerebral ischaemic attacks and related syndromes (G45),Female,(70+),1104
"Nerve, nerve root and plaxus disorders (G50-G58)",Male,(70+),307
"Nerve, nerve root and plaxus disorders (G50-G58)",Female,(70+),338
Cerebral palsy and other paralytic syndromes (G80-G83),Male,(70+),196
Cerebral palsy and other paralytic syndromes (G80-G83),Female,(70+),150
"Other diseases of nervous system (G08,G12,G21-G31,G36,G37,G47,G60-G72,G90-G98)",Male,(70+),606
"Other diseases of nervous system (G08,G12,G21-G31,G36,G37,G47,G60-G72,G90-G98)",Female,(70+),574
Keratitis and other disorders of sclera and cornea      (H15-H18),Male,(70+),610
Keratitis and other disorders of sclera and cornea      (H15-H18),Female,(70+),586
Cataract and other disorders of lens (H25-H27),Male,(70+),10705
Cataract and other disorders of lens (H25-H27),Female,(70+),14047
Retinal detachment and breaks (H33),Male,(70+),191
Retinal detachment and breaks (H33),Female,(70+),119
Glaucoma (H40),Male,(70+),461
Glaucoma (H40),Female,(70+),479
Strabismus (H49-H50),Male,(70+),5
Strabismus (H49-H50),Female,(70+),23
"Other diseases of the eye and adnexa (H00-H11,H20,H21,H30,H31,H34,H35,H43-H47,H51-H59)",Male,(70+),3324
"Other diseases of the eye and adnexa (H00-H11,H20,H21,H30,H31,H34,H35,H43-H47,H51-H59)",Female,(70+),3559
Otitis media and other disorders of middle ear and mastoid (H65-H74),Male,(70+),480
Otitis media and other disorders of middle ear and mastoid (H65-H74),Female,(70+),416
"Hearing loss (H90,H91)",Male,(70+),64
"Hearing loss (H90,H91)",Female,(70+),79
"Other diseases of the ear and mastoid process (H60,H61,H80-H83,H92-H95)",Male,(70+),834
"Other diseases of the ear and mastoid process (H60,H61,H80-H83,H92-H95)",Female,(70+),1109
Acute rheumatic fever (I00-I02),Male,(70+),29
Acute rheumatic fever (I00-I02),Female,(70+),63
Chronic rheumatic heart disease (I05-I09),Male,(70+),87
Chronic rheumatic heart disease (I05-I09),Female,(70+),222
Essential hypertension (I10),Male,(70+),10925
Essential hypertension (I10),Female,(70+),17520
Hypertensive heart disease (I11),Male,(70+),945
Hypertensive heart disease (I11),Female,(70+),1102
Other hypertensive diseases (I12-I15),Male,(70+),621
Other hypertensive diseases (I12-I15),Female,(70+),448
"Acute myocardial infarction (I21,I22)",Male,(70+),3822
"Acute myocardial infarction (I21,I22)",Female,(70+),3286
"Other ischaemic heart disease  (I20,I23-I25)",Male,(70+),9943
"Other ischaemic heart disease  (I20,I23-I25)",Female,(70+),10258
Pulmonary embolism (I26),Male,(70+),59
Pulmonary embolism (I26),Female,(70+),64
Cor pulmonale (I27.9),Male,(70+),257
Cor pulmonale (I27.9),Female,(70+),167
Heart failure (I50),Male,(70+),2724
Heart failure (I50),Female,(70+),2803
"Other heart diseases (I27.0-I27.8, I28-I49,I51)",Male,(70+),2525
"Other heart diseases (I27.0-I27.8, I28-I49,I51)",Female,(70+),2475
Cerebroavascular disease (I60-I69),Male,(70+),7823
Cerebroavascular disease (I60-I69),Female,(70+),7511
Atherosclerosis (I70),Male,(70+),35
Atherosclerosis (I70),Female,(70+),43
Arterial embolism and thrombosis (I74),Male,(70+),6
Arterial embolism and thrombosis (I74),Female,(70+),7
"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",Male,(70+),281
"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",Female,(70+),103
"Phlebitis, thrombophlebitis, venous embolism and thrombosis (I80-I82)",Male,(70+),122
"Phlebitis, thrombophlebitis, venous embolism and thrombosis (I80-I82)",Female,(70+),124
Vericose veins of lower extremities (I83),Male,(70+),868
Vericose veins of lower extremities (I83),Female,(70+),592
Haemorrhoids (I84),Male,(70+),1788
Haemorrhoids (I84),Female,(70+),627
Other diseases of the circulatory system (I85-I99),Male,(70+),483
Other diseases of the circulatory system (I85-I99),Female,(70+),418
Acute sinusitis and acute tonsillitis (J01-J03),Male,(70+),430
Acute sinusitis and acute tonsillitis (J01-J03),Female,(70+),556
"Other acute upper respiratory infections (J00,J02,J04-J06)",Male,(70+),2433
"Other acute upper respiratory infections (J00,J02,J04-J06)",Female,(70+),2607
Influenza (J10-J11),Male,(70+),64
Influenza (J10-J11),Female,(70+),86
Pneumonia (J12-J18),Male,(70+),1488
Pneumonia (J12-J18),Female,(70+),1414
Acute bronchitis (J20),Male,(70+),1019
Acute bronchitis (J20),Female,(70+),1310
Acute bronchiolitis (J21),Male,(70+),224
Acute bronchiolitis (J21),Female,(70+),291
Other diseases of the upper respiratory tract (J30-J39),Male,(70+),1143
Other diseases of the upper respiratory tract (J30-J39),Female,(70+),1138
"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",Male,(70+),9102
"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",Female,(70+),2042
Asthma (J45-J46),Male,(70+),17925
Asthma (J45-J46),Female,(70+),16496
Bronchiectasis (J47),Male,(70+),518
Bronchiectasis (J47),Female,(70+),736
"Other diseases of the respiratory system(J22,J60-J98)",Male,(70+),10192
"Other diseases of the respiratory system(J22,J60-J98)",Female,(70+),11159
Diseases of teeth and supporting structure (K00-K08),Male,(70+),328
Diseases of teeth and supporting structure (K00-K08),Female,(70+),315
"Other diseases of the oral cavity, salivary glands and jaws (K09-K14)",Male,(70+),297
"Other diseases of the oral cavity, salivary glands and jaws (K09-K14)",Female,(70+),179
"Gastric and duodenal ulcer, peptic ulcer site unspecified and gastrojejunal ulcer (K25-K28)",Male,(70+),512
"Gastric and duodenal ulcer, peptic ulcer site unspecified and gastrojejunal ulcer (K25-K28)",Female,(70+),447
Gastritis and duodenitis (K29),Male,(70+),5947
Gastritis and duodenitis (K29),Female,(70+),7118
"Other diseases of oesophagus, stomach and duodenum (K20-K22,K30-K31)",Male,(70+),1283
"Other diseases of oesophagus, stomach and duodenum (K20-K22,K30-K31)",Female,(70+),1565
Diseases of appendix (K35-K38),Male,(70+),310
Diseases of appendix (K35-K38),Female,(70+),315
Hernia (K40-K46),Male,(70+),3771
Hernia (K40-K46),Female,(70+),776
Noninfective enteritis and colitis (K50-K52),Male,(70+),213
Noninfective enteritis and colitis (K50-K52),Female,(70+),211
Other diseases of intestines and peritoneum (K55-K66),Male,(70+),2078
Other diseases of intestines and peritoneum (K55-K66),Female,(70+),1447
Alcoholic liver disease (K70),Male,(70+),504
Alcoholic liver disease (K70),Female,(70+),345
Other diseases of liver (K71-K76),Male,(70+),750
Other diseases of liver (K71-K76),Female,(70+),590
"Cholelithiasis and cholecystitis (K80,K81)",Male,(70+),205
"Cholelithiasis and cholecystitis (K80,K81)",Female,(70+),299
"Acute pancreatitis and other diseases of the pancreas (K85,K86)",Male,(70+),89
"Acute pancreatitis and other diseases of the pancreas (K85,K86)",Female,(70+),63
"Other diseases of the digestive system (K82-K83,K90-K92)",Male,(70+),820
"Other diseases of the digestive system (K82-K83,K90-K92)",Female,(70+),741
Infections of skin and subcutaneous tissue (L00-L08),Male,(70+),8756
Infections of skin and subcutaneous tissue (L00-L08),Female,(70+),6772
Other diseases of skin and subcutaneous tissue (L10-L98),Male,(70+),3740
Other diseases of skin and subcutaneous tissue (L10-L98),Female,(70+),2540
"Disorders of joints (M00-M02,M15-M25)",Male,(70+),1853
"Disorders of joints (M00-M02,M15-M25)",Female,(70+),2108
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Male,(70+),558
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Female,(70+),809
Systemic connective tissue disorders (M30-M35),Male,(70+),28
Systemic connective tissue disorders (M30-M35),Female,(70+),63
Soft tissue disorders (M60-M79),Male,(70+),2515
Soft tissue disorders (M60-M79),Female,(70+),2670
Osteomyelitis (M86),Male,(70+),94
Osteomyelitis (M86),Female,(70+),106
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Male,(70+),4486
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Female,(70+),5160
Glomerular diseases (N00-N07),Male,(70+),341
Glomerular diseases (N00-N07),Female,(70+),175
Infections of the kidney (N10-N12),Male,(70+),549
Infections of the kidney (N10-N12),Female,(70+),509
Renal failure (N17-N19),Male,(70+),3113
Renal failure (N17-N19),Female,(70+),1518
Urolithiasis (N20-N23),Male,(70+),1307
Urolithiasis (N20-N23),Female,(70+),626
Diseases of breast (N60-N64),Male,(70+),105
Diseases of breast (N60-N64),Female,(70+),380
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Male,(70+),10293
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Female,(70+),7728
Hyperplasia of prostate (N40),Male,(70+),2137
Hyperplasia of prostate (N40),Female,(70+),0
Hydrocele and spermatocele (N43),Male,(70+),272
Hydrocele and spermatocele (N43),Female,(70+),0
"Other diseases of the male genital organs (N41,N42,N44-N50)",Male,(70+),1220
"Other diseases of the male genital organs (N41,N42,N44-N50)",Female,(70+),0
Salpingitis and oophoritis (N70),Male,(70+),0
Salpingitis and oophoritis (N70),Female,(70+),28
Female genital prolapse (N81),Male,(70+),0
Female genital prolapse (N81),Female,(70+),1114
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Male,(70+),0
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Female,(70+),1938
Abortions (O00-O08),Male,(70+),0
Abortions (O00-O08),Female,(70+),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Male,(70+),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Female,(70+),0
Supervision of high risk pregnancy (Z35),Male,(70+),0
Supervision of high risk pregnancy (Z35),Female,(70+),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Male,(70+),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Female,(70+),0
False Labour (O47),Male,(70+),0
False Labour (O47),Female,(70+),0
Those admitted and discharged before delivery (Distance from hospital etc.),Male,(70+),0
Those admitted and discharged before delivery (Distance from hospital etc.),Female,(70+),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Male,(70+),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Female,(70+),0
Obstructed Labour (O64-O66),Male,(70+),0
Obstructed Labour (O64-O66),Female,(70+),0
Post parturm haemorrhage (O72),Male,(70+),0
Post parturm haemorrhage (O72),Female,(70+),0
Single spontaneous delivery (O80),Male,(70+),0
Single spontaneous delivery (O80),Female,(70+),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Male,(70+),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Female,(70+),0
Complications predominantly related to the puerperium (O85-O92),Male,(70+),0
Complications predominantly related to the puerperium (O85-O92),Female,(70+),0
Other obstetric conditions not elsewhere classified (O95-O99),Male,(70+),0
Other obstetric conditions not elsewhere classified (O95-O99),Female,(70+),0
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Male,(70+),0
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Female,(70+),0
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Male,(70+),0
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Female,(70+),0
Birth trauma (P10-P15),Male,(70+),0
Birth trauma (P10-P15),Female,(70+),0
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Male,(70+),0
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Female,(70+),0
Haemolytic disease of fetus and new born (P55),Male,(70+),0
Haemolytic disease of fetus and new born (P55),Female,(70+),0
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Male,(70+),0
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Female,(70+),0
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Male,(70+),0
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Female,(70+),0
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Male,(70+),0
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Female,(70+),1
Congenital malformations of the circulatory system (Q20-Q28),Male,(70+),7
Congenital malformations of the circulatory system (Q20-Q28),Female,(70+),13
Cleft lip and cleft palate (Q35-Q37),Male,(70+),0
Cleft lip and cleft palate (Q35-Q37),Female,(70+),0
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Male,(70+),18
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Female,(70+),7
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Male,(70+),1
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Female,(70+),1
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Male,(70+),7496
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Female,(70+),7907
Symptoms and signs involving the digestive system and abdomen (R10-R19),Male,(70+),4970
Symptoms and signs involving the digestive system and abdomen (R10-R19),Female,(70+),5024
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Male,(70+),641
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Female,(70+),561
Fever of unknown origin (R50),Male,(70+),1447
Fever of unknown origin (R50),Female,(70+),1602
Headache (R51),Male,(70+),955
Headache (R51),Female,(70+),1373
Senility (R54),Male,(70+),528
Senility (R54),Female,(70+),609
"Convulsions, not elsewhere classified (R56)",Male,(70+),529
"Convulsions, not elsewhere classified (R56)",Female,(70+),522
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Male,(70+),10598
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Female,(70+),9487
Abnormal findings in investigations not elsewhere classified (R70-R94),Male,(70+),271
Abnormal findings in investigations not elsewhere classified (R70-R94),Female,(70+),217
Ill-defined and unknown causes of mortality (R95-R99),Male,(70+),39
Ill-defined and unknown causes of mortality (R95-R99),Female,(70+),22
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Male,(70+),5596
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Female,(70+),4708
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Male,(70+),3561
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Female,(70+),6046
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Male,(70+),386
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Female,(70+),576
Injury to eye and orbit (S05),Male,(70+),541
Injury to eye and orbit (S05),Female,(70+),443
Intracranial injuries (S06),Male,(70+),296
Intracranial injuries (S06),Female,(70+),227
"Injury of other internal organs (S26,S27,S36,S37)",Male,(70+),92
"Injury of other internal organs (S26,S27,S36,S37)",Female,(70+),68
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Male,(70+),856
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Female,(70+),629
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Male,(70+),7155
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Female,(70+),5053
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Male,(70+),45
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Female,(70+),28
Bitten or struck by dog (W54),Male,(70+),2317
Bitten or struck by dog (W54),Female,(70+),2063
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Male,(70+),4919
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Female,(70+),4655
Effects of foregin body entering through orifice (T15-T19),Male,(70+),684
Effects of foregin body entering through orifice (T15-T19),Female,(70+),797
Burns and corrosion confined to eye and adnexa (T26),Male,(70+),38
Burns and corrosion confined to eye and adnexa (T26),Female,(70+),57
"All other burns and corrosions (T20-T25,T27-T32)",Male,(70+),189
"All other burns and corrosions (T20-T25,T27-T32)",Female,(70+),214
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Male,(70+),354
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Female,(70+),303
Toxic effects of organophosphate and carbamate insecticides (T60.0),Male,(70+),250
Toxic effects of organophosphate and carbamate insecticides (T60.0),Female,(70+),161
Toxic effects of other pesticides (T60.1-T60.9),Male,(70+),85
Toxic effects of other pesticides (T60.1-T60.9),Female,(70+),51
Snake bites (T63.0),Male,(70+),1053
Snake bites (T63.0),Female,(70+),810
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Male,(70+),644
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Female,(70+),470
"Other unspecified effects of external causes (T33-T35,T66-T78)",Male,(70+),755
"Other unspecified effects of external causes (T33-T35,T66-T78)",Female,(70+),770
Certain early complications of trauma (T79),Male,(70+),828
Certain early complications of trauma (T79),Female,(70+),626
Complications of surgical and medical care not elsewhere classified (T80-T88),Male,(70+),486
Complications of surgical and medical care not elsewhere classified (T80-T88),Female,(70+),394
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Male,(70+),174
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Female,(70+),150
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Male,(70+),35741
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Female,(70+),22893
Sterilization (Z30.2)(admissions only for sterilization),Male,(70+),0
Sterilization (Z30.2)(admissions only for sterilization),Female,(70+),0
Undiagnosed / Uncoded,Male,(70+),21087
Undiagnosed / Uncoded,Female,(70+),18076
Total,Male,(70+),314186
Total,Female,(70+),290657
Cholera (A00),Male,Total,0
Typhoid and para typhoid fever (A01),Male,Total,1110
Typhoid and para typhoid fever (A01),Female,Total,848
Shigellosis (A03),Male,Total,1027
Shigellosis (A03),Female,Total,971
Amoebiasis with liver abscess(A06.4),Male,Total,61
Amoebiasis with liver abscess(A06.4),Female,Total,26
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Male,Total,533
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Female,Total,553
"Food poisoning (A02.0,A05)",Male,Total,1815
"Food poisoning (A02.0,A05)",Female,Total,2179
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Male,Total,53255
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Female,Total,56888
"Other intestinal infectious diseases (A04,A07,A08)",Male,Total,2435
"Other intestinal infectious diseases (A04,A07,A08)",Female,Total,2680
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Male,Total,2362
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Female,Total,834
Tuberculosis of lung not confirmed (A16-A16.2),Male,Total,1709
Tuberculosis of lung not confirmed (A16-A16.2),Female,Total,697
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Male,Total,307
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Female,Total,264
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Male,Total,856
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Female,Total,331
Tuberculosis of nervous system (A17),Male,Total,76
Tuberculosis of nervous system (A17),Female,Total,49
Tuberculosis of other organs (A18),Male,Total,296
Tuberculosis of other organs (A18),Female,Total,153
Miliary tuberculosis (A19),Male,Total,36
Miliary tuberculosis (A19),Female,Total,36
Plague (A20),Male,Total,3
Plague (A20),Female,Total,2
Anthrax (A22),Male,Total,0
Anthrax (A22),Female,Total,0
Brucellosis (A23),Male,Total,2
Brucellosis (A23),Female,Total,2
Leptospirosis (A27),Male,Total,7057
Leptospirosis (A27),Female,Total,1239
Leprosy (A30),Male,Total,413
Leprosy (A30),Female,Total,234
Tetanus neonatorum (A33),Male,Total,7
Tetanus neonatorum (A33),Female,Total,6
Obsterical tetanus (A34),Male,Total,0
Obsterical tetanus (A34),Female,Total,0
Other tetanus (A35),Male,Total,115
Other tetanus (A35),Female,Total,51
Diphtheria (A36),Male,Total,3
Diphtheria (A36),Female,Total,2
Whooping cough(A37),Male,Total,26
Whooping cough(A37),Female,Total,24
Meningococcal infections (A39),Male,Total,86
Meningococcal infections (A39),Female,Total,80
"Septicaemia (A40,A41)",Male,Total,2541
"Septicaemia (A40,A41)",Female,Total,2328
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Male,Total,674
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Female,Total,633
Congenital Syphilis(A50),Male,Total,3
Congenital Syphilis(A50),Female,Total,3
Early Syphilis(A51),Male,Total,14
Early Syphilis(A51),Female,Total,10
Late Syphilis(A52),Male,Total,1
Late Syphilis(A52),Female,Total,1
Other and unspecified Syphilis(A53),Male,Total,29
Other and unspecified Syphilis(A53),Female,Total,16
Gonococcal infections (A54),Male,Total,7
Gonococcal infections (A54),Female,Total,5
Chlamydial lymphogranuloma (venereum)(A55),Male,Total,16
Chlamydial lymphogranuloma (venereum)(A55),Female,Total,25
Other sexually transmitted chlamydia diseases(A56),Male,Total,0
Other sexually transmitted chlamydia diseases(A56),Female,Total,13
Chancroid(A57),Male,Total,4
Chancroid(A57),Female,Total,1
Granuloma inguinale(A58),Male,Total,18
Granuloma inguinale(A58),Female,Total,2
Trichomoniasis(A59),Male,Total,0
Trichomoniasis(A59),Female,Total,2
Anogenital herpesviral (herpes simplex) infection(A60),Male,Total,37
Anogenital herpesviral (herpes simplex) infection(A60),Female,Total,117
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Male,Total,8
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Female,Total,9
Unspecified sexually transmitted disease(A64),Male,Total,9
Unspecified sexually transmitted disease(A64),Female,Total,27
Rabies (A82),Male,Total,24
Rabies (A82),Female,Total,15
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Male,Total,200
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Female,Total,150
Viral meningitis (A87),Male,Total,526
Viral meningitis (A87),Female,Total,465
Dengue fever (A90),Male,Total,22393
Dengue fever (A90),Female,Total,12708
Dengue haemorrhagic fever (A91),Male,Total,3866
Dengue haemorrhagic fever (A91),Female,Total,2648
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Male,Total,1852
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Female,Total,2033
Varicella (Chickenpox) (B01),Male,Total,1540
Varicella (Chickenpox) (B01),Female,Total,962
Zoster (herpese zoster) (B02),Male,Total,1095
Zoster (herpese zoster) (B02),Female,Total,1270
Measles (B05),Male,Total,2763
Measles (B05),Female,Total,1992
Rubella (B06),Male,Total,34
Rubella (B06),Female,Total,16
Congenital rubella (P35.0),Male,Total,5
Congenital rubella (P35.0),Female,Total,0
Acute hepatitis A (B15),Male,Total,1047
Acute hepatitis A (B15),Female,Total,529
Acute hepatitis B (B16),Male,Total,217
Acute hepatitis B (B16),Female,Total,113
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Male,Total,936
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Female,Total,437
Human immunodeficiency virus (HIV) (B20-B24),Male,Total,95
Human immunodeficiency virus (HIV) (B20-B24),Female,Total,83
Mumps (B26),Male,Total,586
Mumps (B26),Female,Total,551
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Male,Total,126806
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Female,Total,101909
Mycosis (B35-B49),Male,Total,1259
Mycosis (B35-B49),Female,Total,1471
Malaria (B50-B54),Male,Total,82
Malaria (B50-B54),Female,Total,24
Filariasis (B74),Male,Total,175
Filariasis (B74),Female,Total,45
"Helminthiasis (B76,B77,B79,B80)",Male,Total,144
"Helminthiasis (B76,B77,B79,B80)",Female,Total,131
Scabies (B86),Male,Total,654
Scabies (B86),Female,Total,451
Sequelae of infectious and parasitic diseases (B90-B94),Male,Total,127
Sequelae of infectious and parasitic diseases (B90-B94),Female,Total,92
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Male,Total,2928
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Female,Total,2743
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Male,Total,5970
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Female,Total,1394
Malaignant neoplasm of oesophagus (C15),Male,Total,2603
Malaignant neoplasm of oesophagus (C15),Female,Total,1842
